cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
91,-0.0008451959233642402,CH2OH(27) + H(5) <=> CH3(20) + OH(7),"{'CH3(20)': 1.0, 'OH(7)': 1.0}","{'CH2OH(27)': 1.0, 'H(5)': 1.0}"
2024,0.0008344500329207744,H(5) + HCCO(19) <=> C2H2O(194),{'C2H2O(194)': 1.0},"{'H(5)': 1.0, 'HCCO(19)': 1.0}"
818,0.0008157932848391444,CH2OH(27) + H(5) <=> CH2O(15) + H2(8),"{'CH2O(15)': 1.0, 'H2(8)': 1.0}","{'CH2OH(27)': 1.0, 'H(5)': 1.0}"
801,0.0007766413388888264,C2H3(29) + H(5) <=> H2(8) + H2CC(35),"{'H2(8)': 1.0, 'H2CC(35)': 1.0}","{'C2H3(29)': 1.0, 'H(5)': 1.0}"
836,0.0007597579544265763,C2H3(29) + OH(7) <=> C2H2(23) + H2O(9),"{'C2H2(23)': 1.0, 'H2O(9)': 1.0}","{'C2H3(29)': 1.0, 'OH(7)': 1.0}"
20,0.0007521426992376696,H2O2(12) + OH(7) <=> H2O(9) + HO2(11),"{'H2O(9)': 1.0, 'HO2(11)': 1.0}","{'H2O2(12)': 1.0, 'OH(7)': 1.0}"
2025,0.0007416607392710878,C2H2(23) + O(6) <=> C2H2O(194),{'C2H2O(194)': 1.0},"{'C2H2(23)': 1.0, 'O(6)': 1.0}"
81,0.0007360171661161366,CH2(18) + CH3(20) <=> C2H4(30) + H(5),"{'C2H4(30)': 1.0, 'H(5)': 1.0}","{'CH2(18)': 1.0, 'CH3(20)': 1.0}"
179,0.00073359244336708,C2H4(30) + CH2(18) <=> H(5) + aC3H5(43),"{'H(5)': 1.0, 'aC3H5(43)': 1.0}","{'C2H4(30)': 1.0, 'CH2(18)': 1.0}"
173,-0.0006672978035435689,C2H4(30) + O(6) <=> CH3(20) + HCO(14),"{'CH3(20)': 1.0, 'HCO(14)': 1.0}","{'C2H4(30)': 1.0, 'O(6)': 1.0}"
47,0.0006623705591866206,CH2(18) + OH(7) <=> CH(17) + H2O(9),"{'CH(17)': 1.0, 'H2O(9)': 1.0}","{'CH2(18)': 1.0, 'OH(7)': 1.0}"
130,-0.0006598101351545563,H2CC(35) + O2(4) <=> 2 HCO(14),{'HCO(14)': 2.0},"{'H2CC(35)': 1.0, 'O2(4)': 1.0}"
73,-0.0006471446775177369,CH3(20) + OH(7) <=> CH2(18) + H2O(9),"{'CH2(18)': 1.0, 'H2O(9)': 1.0}","{'CH3(20)': 1.0, 'OH(7)': 1.0}"
1494,0.0006013844717392751,C2H5(32) + OH(7) <=> C2H4(30) + H2O(9),"{'C2H4(30)': 1.0, 'H2O(9)': 1.0}","{'C2H5(32)': 1.0, 'OH(7)': 1.0}"
40,0.0006013181858900288,CH(17) + CO2(10) <=> CO(13) + HCO(14),"{'CO(13)': 1.0, 'HCO(14)': 1.0}","{'CH(17)': 1.0, 'CO2(10)': 1.0}"
27,0.0005964051100733834,HCO(14) + O(6) <=> CO2(10) + H(5),"{'CO2(10)': 1.0, 'H(5)': 1.0}","{'HCO(14)': 1.0, 'O(6)': 1.0}"
76,-0.0005577660331857104,CH3(20) + O2(4) <=> CH2O(15) + OH(7),"{'CH2O(15)': 1.0, 'OH(7)': 1.0}","{'CH3(20)': 1.0, 'O2(4)': 1.0}"
110,0.0005492701924841157,C2H2(23) (+M) <=> H2CC(35) (+M),{'H2CC(35)': 1.0},{'C2H2(23)': 1.0}
1481,0.0005373844310989989,C2H5(32) + OH(7) <=> C2H6O(109),{'C2H6O(109)': 1.0},"{'C2H5(32)': 1.0, 'OH(7)': 1.0}"
113,-0.0005061010580631386,C2H2(23) + O(6) <=> H(5) + HCCO(19),"{'H(5)': 1.0, 'HCCO(19)': 1.0}","{'C2H2(23)': 1.0, 'O(6)': 1.0}"
134,-0.0004850360937161827,CH2CO(22) + H(5) <=> CH3(20) + CO(13),"{'CH3(20)': 1.0, 'CO(13)': 1.0}","{'CH2CO(22)': 1.0, 'H(5)': 1.0}"
69,0.0004746587698832136,CH(17) + CH2O(15) <=> CH2CO(22) + H(5),"{'CH2CO(22)': 1.0, 'H(5)': 1.0}","{'CH(17)': 1.0, 'CH2O(15)': 1.0}"
814,-0.00045136918935721217,CH2O(15) + HO2(11) <=> H2O2(12) + HCO(14),"{'H2O2(12)': 1.0, 'HCO(14)': 1.0}","{'CH2O(15)': 1.0, 'HO2(11)': 1.0}"
1916,0.0004432909621107927,C2H3(29) + O(6) <=> C2H2(23) + OH(7),"{'C2H2(23)': 1.0, 'OH(7)': 1.0}","{'C2H3(29)': 1.0, 'O(6)': 1.0}"
54,0.00043875571826813966,CH2(18) + CO(13) (+M) <=> CH2CO(22) (+M),{'CH2CO(22)': 1.0},"{'CH2(18)': 1.0, 'CO(13)': 1.0}"
828,-0.0004214985107771872,HCCO(19) + OH(7) <=> C2O(34) + H2O(9),"{'C2O(34)': 1.0, 'H2O(9)': 1.0}","{'HCCO(19)': 1.0, 'OH(7)': 1.0}"
138,0.0004118995039367175,C2H3(29) + O(6) <=> CH2CO(22) + H(5),"{'CH2CO(22)': 1.0, 'H(5)': 1.0}","{'C2H3(29)': 1.0, 'O(6)': 1.0}"
865,0.0004101057839981318,C2H6(31) + OH(7) <=> C2H5(32) + H2O(9),"{'C2H5(32)': 1.0, 'H2O(9)': 1.0}","{'C2H6(31)': 1.0, 'OH(7)': 1.0}"
139,0.0003639481105883035,C2H3(29) + O(6) <=> CH3(20) + CO(13),"{'CH3(20)': 1.0, 'CO(13)': 1.0}","{'C2H3(29)': 1.0, 'O(6)': 1.0}"
44,0.0003435576257374219,CH2(18) + O(6) <=> H(5) + HCO(14),"{'H(5)': 1.0, 'HCO(14)': 1.0}","{'CH2(18)': 1.0, 'O(6)': 1.0}"
105,-0.0003373421183652775,HCCO(19) + O(6) <=> 2 CO(13) + H(5),"{'CO(13)': 2.0, 'H(5)': 1.0}","{'HCCO(19)': 1.0, 'O(6)': 1.0}"
821,0.0003371970313928166,CH3OH(26) + H(5) <=> CH2OH(27) + H2(8),"{'CH2OH(27)': 1.0, 'H2(8)': 1.0}","{'CH3OH(26)': 1.0, 'H(5)': 1.0}"
1487,0.0003207091813952345,C2H5(32) + O(6) <=> C2H4(30) + OH(7),"{'C2H4(30)': 1.0, 'OH(7)': 1.0}","{'C2H5(32)': 1.0, 'O(6)': 1.0}"
143,0.000313675112583945,C2H3(29) + CH3(20) (+M) <=> C3H6(47) (+M),{'C3H6(47)': 1.0},"{'C2H3(29)': 1.0, 'CH3(20)': 1.0}"
857,-0.000309383643734839,C2H4(30) + OH(7) <=> C2H3(29) + H2O(9),"{'C2H3(29)': 1.0, 'H2O(9)': 1.0}","{'C2H4(30)': 1.0, 'OH(7)': 1.0}"
823,-0.00030022013750119844,CH3OH(26) + O(6) <=> CH2OH(27) + OH(7),"{'CH2OH(27)': 1.0, 'OH(7)': 1.0}","{'CH3OH(26)': 1.0, 'O(6)': 1.0}"
99,-0.00029570669022408575,C2H(21) + O2(4) <=> CO(13) + HCO(14),"{'CO(13)': 1.0, 'HCO(14)': 1.0}","{'C2H(21)': 1.0, 'O2(4)': 1.0}"
832,0.00029347221121484674,CH2CO(22) + H(5) <=> H2(8) + HCCO(19),"{'H2(8)': 1.0, 'HCCO(19)': 1.0}","{'CH2CO(22)': 1.0, 'H(5)': 1.0}"
212,0.00028287063489961694,H(5) + aC3H5(43) (+M) <=> C3H6(47) (+M),{'C3H6(47)': 1.0},"{'H(5)': 1.0, 'aC3H5(43)': 1.0}"
26,-0.0002644127853289211,CO(13) + HO2(11) <=> CO2(10) + OH(7),"{'CO2(10)': 1.0, 'OH(7)': 1.0}","{'CO(13)': 1.0, 'HO2(11)': 1.0}"
34,0.00026256871821079907,CH(17) + O(6) <=> CO(13) + H(5),"{'CO(13)': 1.0, 'H(5)': 1.0}","{'CH(17)': 1.0, 'O(6)': 1.0}"
22,0.00025916534726598805,CO(13) + O(6) (+M) <=> CO2(10) (+M),{'CO2(10)': 1.0},"{'CO(13)': 1.0, 'O(6)': 1.0}"
185,0.0002575947131111832,C2H5(32) + O(6) <=> CH3CHO(50) + H(5),"{'CH3CHO(50)': 1.0, 'H(5)': 1.0}","{'C2H5(32)': 1.0, 'O(6)': 1.0}"
1399,0.000253722224886663,H(5) + HCCO(19) <=> HCCOH(36),{'HCCOH(36)': 1.0},"{'H(5)': 1.0, 'HCCO(19)': 1.0}"
52,0.00024205313504241618,CH2(18) + HO2(11) <=> CH2O(15) + OH(7),"{'CH2O(15)': 1.0, 'OH(7)': 1.0}","{'CH2(18)': 1.0, 'HO2(11)': 1.0}"
68,-0.00023864645622087625,CH2O(15) + H(5) (+M) <=> CH3O(28) (+M),{'CH3O(28)': 1.0},"{'CH2O(15)': 1.0, 'H(5)': 1.0}"
42,0.00023506606072822486,CH2(18) + H(5) (+M) <=> CH3(20) (+M),{'CH3(20)': 1.0},"{'CH2(18)': 1.0, 'H(5)': 1.0}"
84,0.00021634082397603387,CH3(20) + HCCO(19) <=> C2H4(30) + CO(13),"{'C2H4(30)': 1.0, 'CO(13)': 1.0}","{'CH3(20)': 1.0, 'HCCO(19)': 1.0}"
834,0.00021470811672337498,CH2CO(22) + OH(7) <=> H2O(9) + HCCO(19),"{'H2O(9)': 1.0, 'HCCO(19)': 1.0}","{'CH2CO(22)': 1.0, 'OH(7)': 1.0}"
1539,0.00020183864219300003,CH2OH(27) + HCO(14) <=> 2 CH2O(15),{'CH2O(15)': 2.0},"{'CH2OH(27)': 1.0, 'HCO(14)': 1.0}"
62,0.00019740221877774695,CH2*(24) + H2O(9) (+M) <=> CH3OH(26) (+M),{'CH3OH(26)': 1.0},"{'CH2*(24)': 1.0, 'H2O(9)': 1.0}"
1786,-0.00019075016089731771,CH3O(28) + O(6) <=> S(1200),{'S(1200)': 1.0},"{'CH3O(28)': 1.0, 'O(6)': 1.0}"
1395,0.00019048758624867667,CH2*(24) + CH4(3) <=> C2H6(31),{'C2H6(31)': 1.0},"{'CH2*(24)': 1.0, 'CH4(3)': 1.0}"
820,0.00017698844179364815,CH2OH(27) + OH(7) <=> CH2O(15) + H2O(9),"{'CH2O(15)': 1.0, 'H2O(9)': 1.0}","{'CH2OH(27)': 1.0, 'OH(7)': 1.0}"
119,0.00016280571875983477,C2H2(23) + CH2(18) <=> C3H3(33) + H(5),"{'C3H3(33)': 1.0, 'H(5)': 1.0}","{'C2H2(23)': 1.0, 'CH2(18)': 1.0}"
1,0.00015760024780403555,2 H(5) + M <=> H2(8) + M,{'H2(8)': 1.0},{'H(5)': 2.0}
15,0.00015574732799196732,HO2(11) + OH(7) <=> H2O(9) + O2(4),"{'H2O(9)': 1.0, 'O2(4)': 1.0}","{'HO2(11)': 1.0, 'OH(7)': 1.0}"
3,0.00015530227396750952,2 H(5) + H2O(9) <=> H2(8) + H2O(9),"{'H2(8)': 1.0, 'H2O(9)': 1.0}","{'H(5)': 2.0, 'H2O(9)': 1.0}"
1522,0.0001510736768922681,2 HCO(14) <=> CH2O(15) + CO(13),"{'CH2O(15)': 1.0, 'CO(13)': 1.0}",{'HCO(14)': 2.0}
855,0.00014809426009312568,C2H4(30) + H(5) <=> C2H3(29) + H2(8),"{'C2H3(29)': 1.0, 'H2(8)': 1.0}","{'C2H4(30)': 1.0, 'H(5)': 1.0}"
440,-0.00013494889793390694,C2H5(32) + HO2(11) <=> C2H5O(110) + OH(7),"{'C2H5O(110)': 1.0, 'OH(7)': 1.0}","{'C2H5(32)': 1.0, 'HO2(11)': 1.0}"
56,0.00013435506828256595,2 CH2(18) <=> C2H2(23) + H2(8),"{'C2H2(23)': 1.0, 'H2(8)': 1.0}",{'CH2(18)': 2.0}
1523,0.0001339602916788488,CH2(18) + HCO(14) <=> CH3(20) + CO(13),"{'CH3(20)': 1.0, 'CO(13)': 1.0}","{'CH2(18)': 1.0, 'HCO(14)': 1.0}"
4949,0.000132919015178224,HCO(14) + O(6) <=> CHO2(695),{'CHO2(695)': 1.0},"{'HCO(14)': 1.0, 'O(6)': 1.0}"
830,-0.00012711252958346963,C2H2(23) + OH(7) <=> C2H(21) + H2O(9),"{'C2H(21)': 1.0, 'H2O(9)': 1.0}","{'C2H2(23)': 1.0, 'OH(7)': 1.0}"
1332,-0.00012679990367477087,CH2O(15) + O2(4) <=> HCO(14) + HO2(11),"{'HCO(14)': 1.0, 'HO2(11)': 1.0}","{'CH2O(15)': 1.0, 'O2(4)': 1.0}"
160,0.0001267166830336341,CH3(20) + HCO(14) (+M) <=> CH3CHO(50) (+M),{'CH3CHO(50)': 1.0},"{'CH3(20)': 1.0, 'HCO(14)': 1.0}"
